doc_id,domain,title,date_published,date_query,collection,tags,url,summary
"haiyan-google_91-101_w18(01)","savethechildren.net","New typhoon Haiyan report with children&apos;s recommendations | Save ...","","w18[2014-04-09]","haiyan","google","http://www.savethechildren.net/article/new-typhoon-haiyan-report-childrens-recommendations","Home/<b>News</b>/New <b>typhoon Haiyan</b> report with children&#39;s recommendations ... This <br> is a children&#39;s consultation on our <b>typhoon Haiyan</b> response – made in&nbsp;..."
"haiyan-google_91-101_w18(02)","ato.gov.au","Non-Profit News Service No. 0406 - Support for victims of Typhoon ...","","w18[2014-04-09]","haiyan","google","http://www.ato.gov.au/Non-profit/Non-profit-News-Service/In-detail/Articles--2013-14/Non-Profit-News-Service-No--0406---Support-for-victims-of-Typhoon-Haiyan/","Non-Profit <b>News</b> Service No. 0406 - Support for victims of <b>Typhoon Haiyan</b>. <br> Organisations wanting to set up a tax-deductible fund to collect donations for <br> victims&nbsp;..."
"haiyan-google_91-101_w18(03)","en-maktoob.news.yahoo.com","One hundred days since Typhoon Haiyan - Yahoo News Maktoob","2014-02-18T11:07:19Z","w18[2014-04-09]","haiyan","google","http://en-maktoob.news.yahoo.com/one-hundred-days-since-typhoon-haiyan-110719153.html","Read &#39;One hundred days since <b>Typhoon Haiyan</b>&#39; on Yahoo <b>News</b> Maktoob. Parts <br> of the Philippines affected by the storm remain a long way from recovery, and&nbsp;..."
"haiyan-google_91-101_w18(04)","mapaction.org","Typhoon Haiyan update","","w18[2014-04-09]","haiyan","google","http://www.mapaction.org/more-news/385-typhoon-haiyan-update.html","You are here: Home • More <b>News</b> • <b>Typhoon Haiyan</b> update ... 15 staff and <br> volunteers to help with the aftermath of <b>Typhoon Haiyan</b> (known locally as <br> Yolanda)."
"haiyan-google_91-101_w18(05)","brethren.org","Tita Grace&apos;s tiled floor: One family&apos;s story of Typhoon Haiyan ...","","w18[2014-04-09]","haiyan","google","http://www.brethren.org/news/2014/tita-graces-tiled-floor.html","For the latest Brethren <b>news</b> go to the main Newsline page. &quot;Ha! ... Only when <br> asked of her experience during <b>Typhoon Haiyan&#39;s</b> fierce winds and surge did the<br> &nbsp;..."
"haiyan-google_91-101_w18(06)","indcatholicnews.com","Philippines: New floods hinder recovery in wake of Typhoon Haiyan ...","","w18[2014-04-09]","haiyan","google","http://www.indcatholicnews.com/news.php?viewStory=24022","Massive flooding in the Philippines is hindering the efforts of of people to rebuild <br> their lives in the wake of <b>Typhoon Haiyan</b>, says Christian Aid. Tropical&nbsp;..."
"haiyan-google_91-101_w18(07)","trust.org","Typhoon Haiyan exposes hunger, poverty in the Philippines","","w18[2014-04-09]","haiyan","google","http://www.trust.org/item/20140203120754-tv7uz/","Temporary aid for <b>Haiyan</b> survivors has helped ease long-standing problems of <br> hunger, but ... Author: Thin Lei Win More <b>news</b> from our correspondents."
"haiyan-google_91-101_w18(08)","wtsp.com","Typhoon Haiyan deaths in Philippines pass 6,000 | wtsp.com","","w18[2014-04-09]","haiyan","google","http://www.wtsp.com/weather/article/348572/3/typhoon-haiyan-deaths-in-philippines-pass-6000","<b>Typhoon Haiyan</b> deaths in Philippines pass 6,000. 6:23 AM, Dec 13, 2013 | <br> comments &middot; A man paints a ... The Associated Press. FILED UNDER; Weather <br> <b>News</b>&nbsp;..."
"haiyan-google_91-101_w18(09)","neepawapress.com","Philippines continues to make progress post-Typhoon Haiyan ...","","w18[2014-04-09]","haiyan","google","http://www.neepawapress.com/article/20140321/NEEPAWA0101/140329990/-1/NEEPAWA/philippines-continues-to-make-progress-post-typhoon-haiyan","In an updated online <b>news article</b> provided by the United Nations, it is said there <br> are ... I decided to write about the latest <b>news</b> on the <b>Typhoon Haiyan</b> victims&nbsp;..."
"haiyan-google_91-101_w18(10)","news.va","Older people disproportianately affected by Typhoon Haiyan","","w18[2014-04-09]","haiyan","google","http://www.news.va/en/news/older-people-disproportianately-affected-by-typhoo","2013-12-19 Vatican Radio. (Vatican Radio) When <b>Typhoon Haiyan</b> struck the <br> Philippines in November, thousands of people were killed and more than 9 <br> million&nbsp;..."
"haiyan-google_91-101_w19(01)","zeenews.india.com","Typhoon-Haiyan - Latest News on Typhoon-Haiyan | Read Breaking ...","","w19[2014-04-09]","haiyan","google","http://zeenews.india.com/tags/Typhoon-Haiyan.html","<b>Typhoon</b>-<b>Haiyan</b> - Get latest <b>news</b> on <b>Typhoon</b>-<b>Haiyan</b>. Read Breaking <b>News</b> on <br> <b>Typhoon</b>-<b>Haiyan</b> updated and published at Zee <b>News</b>."
"haiyan-google_91-101_w19(02)","mnnonline.org","Sponsorship of child victims of Typhoon Haiyan","","w19[2014-04-09]","haiyan","google","http://www.mnnonline.org/news/sponsorship-children-victims-typhoon-haiyan/","It has been nearly three months since <b>Typhoon Haiyan</b> struck the Philippines. But <br> the places hit by the typhoon are still struggling to get back on their feet and to <br> rebuild. Of the groups affected, ... More <b>News</b> About Philippines &middot; Info About&nbsp;..."
"haiyan-google_91-101_w19(03)","news.yahoo.com","Typhoon Haiyan: US Military Arrives in Devastated Area | Watch the ...","","w19[2014-04-09]","haiyan","google","https://news.yahoo.com/video/typhoon-haiyan-us-military-arrives-110520670.html","Watch the video <b>Typhoon Haiyan</b>: US Military Arrives in Devastated Area on <br> Yahoo <b>News</b> . The typhoon that slammed the Philippines has survivors <br> concerned&nbsp;..."
